date,comment_num,like_num,Subjuctivity,Polarity,Class_sentiment_negative,Class_sentiment_neutral,Class_sentiment_positive,total_count_tweet,Open,Close,change,Class_target
2015-01-02,43,136,58.11785714285714,24.628968253968253,25,102,75,253,14.858,14.620667,0.0,0.0
2015-01-03,10,89,19.596165223665224,6.0154329004329,6,58,26,115,14.858,14.620667,0.0,0.0
2015-01-04,11,75,21.760569985569987,7.227272727272727,9,81,30,155,14.858,14.620667,0.0,0.0
2015-01-05,23,201,78.2108676046176,36.70006313131313,17,148,111,356,14.303333,14.006,-4.204096844555718,-1.0
2015-01-06,22,155,57.58534451659452,17.047315115440114,20,150,65,271,14.004,14.085333,0.5664215336284456,1.0
2015-01-07,13,211,59.85205627705628,27.470310245310245,9,158,89,317,14.223333,14.063333,-0.15619084050054222,-1.0
2015-01-08,25,217,71.52362651237651,16.8834613997114,28,130,84,287,14.187333,14.041333,-0.15643517791977365,-1.0
2015-01-09,22,228,67.74058802308802,22.50584505772006,24,148,91,320,13.928,13.777333,-1.8801633719533564,-1.0
2015-01-10,19,106,18.9595183982684,3.699897186147186,10,67,21,159,13.928,13.777333,-1.8801633719533564,-1.0
2015-01-11,7,48,19.034772727272728,12.535681818181818,3,25,34,74,13.928,13.777333,-1.8801633719533564,-1.0
2015-01-12,71,365,118.56411736411737,33.99587812650313,48,208,147,589,13.536667,13.480667,-2.153290480820926,-1.0
2015-01-13,126,518,169.66732924482923,46.92022005772006,62,276,201,880,13.554667,13.616667,1.0088521584280603,1.0
2015-01-14,167,619,259.79153217153214,46.92634111259111,155,425,265,1180,12.388667,12.846,-5.659733031585479,-1.0
2015-01-15,42,149,94.45445887445888,29.869011544011546,39,216,108,433,12.966,12.791333,-0.4255565934921395,-1.0
2015-01-16,24,118,75.10242544492544,21.60008477633477,25,267,87,425,12.713333,12.871333,0.6254234801017226,1.0
2015-01-17,19,80,27.9604531024531,8.092981240981242,10,73,35,152,12.713333,12.871333,0.6254234801017226,1.0
2015-01-18,10,166,36.14132034632035,16.054729437229437,8,81,42,214,12.713333,12.871333,0.6254234801017226,1.0
2015-01-19,9,72,27.64027777777778,10.25,8,52,31,120,12.713333,12.871333,0.6254234801017226,1.0
2015-01-20,26,89,77.92649544899545,32.43753191253192,25,140,106,313,12.924667,12.795333,-0.590459434154959,-1.0
2015-01-21,50,243,82.71996401746402,25.19862073112073,26,158,111,423,12.636667,13.104667,2.417553337611454,1.0
2015-01-22,29,81,57.7771645021645,18.086219336219337,18,314,85,457,13.133333,13.441333,2.5690542155706897,1.0
2015-01-23,17,114,69.05542929292929,25.180934343434345,26,232,88,388,13.352667,13.419333,-0.16367424272577907,-1.0
2015-01-24,17,68,24.92727272727273,10.590205627705627,4,65,33,123,13.352667,13.419333,-0.16367424272577907,-1.0
2015-01-25,4,30,20.802777777777777,9.768055555555556,2,50,31,93,13.352667,13.419333,-0.16367424272577907,-1.0
2015-01-26,30,124,72.2599025974026,29.015638528138528,17,108,99,251,13.455333,13.77,2.6131477622621007,1.0
2015-01-27,26,110,64.88623376623377,18.968102453102453,30,134,72,277,13.628,13.732,-0.27596223674655235,-1.0
2015-01-28,11,93,69.75321428571428,9.706244588744587,30,121,75,251,13.740667,13.291333,-3.209051849694142,-1.0
2015-01-29,26,119,89.6239145021645,30.116974747474742,28,141,110,334,13.404667,13.68,2.924213846722521,1.0
2015-01-30,21,105,69.66827200577201,18.482274531024533,23,139,81,285,13.597333,13.573333,-0.7797295321637415,-1.0
2015-01-31,3,44,23.961796536796538,6.294372294372295,6,66,24,113,13.597333,13.573333,-0.7797295321637415,-1.0
2015-02-01,4,57,26.740804473304472,9.967551406926408,6,68,33,131,13.597333,13.573333,-0.7797295321637415,-1.0
2015-02-02,25,147,63.04904918229918,17.406146825396824,30,129,68,297,13.598,14.062667,3.605113055135386,1.0
2015-02-03,36,179,66.36199675324676,19.250761183261183,32,169,80,351,14.214667,14.557333,3.517583115635182,1.0
2015-02-04,16,83,66.71298701298701,18.144682539682535,22,189,74,308,14.552667,14.57,0.08701456509925566,1.0
2015-02-05,22,140,56.36790404040404,12.669641053391054,27,176,60,328,14.658667,14.732667,1.1164516129032191,1.0
2015-02-06,31,162,93.37618326118326,37.5197113997114,22,147,119,1244,14.8,14.490667,-1.6426082256525525,-1.0
2015-02-07,13,122,39.27727272727272,15.521872294372294,12,75,46,173,14.8,14.490667,-1.6426082256525525,-1.0
2015-02-08,23,140,41.67039141414141,8.367992424242425,22,93,43,219,14.8,14.490667,-1.6426082256525525,-1.0
2015-02-09,69,244,71.51238095238095,21.70810245310245,32,185,75,397,14.358667,14.498667,0.055207948674820276,1.0
2015-02-10,85,340,141.05446608946608,41.31915584415584,59,268,155,689,14.503333,14.419333,-0.5471813374291536,-1.0
2015-02-11,368,1045,354.8063676046176,59.25114231601732,219,583,382,1963,14.147333,14.186667,-1.6135697816258219,-1.0
2015-02-12,506,1178,554.9888131313131,84.72293831168831,331,890,573,2575,12.904667,13.525333,-4.661658725055012,-1.0
2015-02-13,107,315,136.24273424723424,34.38456854256854,68,280,159,703,13.526667,13.584667,0.43868790513327677,1.0
2015-02-14,126,261,125.72046386483886,31.19282196969697,51,208,141,589,13.526667,13.584667,0.43868790513327677,1.0
2015-02-15,79,218,56.31628121878122,14.714799506049506,21,225,70,438,13.526667,13.584667,0.43868790513327677,1.0
2015-02-16,101,247,72.01317099567099,15.238434343434344,35,150,79,399,13.526667,13.584667,0.43868790513327677,1.0
2015-02-17,132,285,128.7058189033189,35.10201118326118,44,215,156,557,13.713333,13.623333,0.28462972261300906,1.0
2015-02-18,40,126,81.00513708513708,25.678782467532468,21,112,107,303,13.611333,13.630667,0.05383410946499049,1.0
2015-02-19,94,246,127.2859139009139,33.931454725829724,51,202,157,542,13.666667,14.114,3.545923321287212,1.0
2015-02-20,90,300,123.9665076960077,33.6673823953824,54,245,160,637,14.052,14.474,2.550658920221053,1.0
2015-02-21,40,134,48.80800865800866,18.115728715728714,14,104,67,237,14.052,14.474,2.550658920221053,1.0
2015-02-22,37,154,41.24262746512746,14.016601731601732,15,83,53,197,14.052,14.474,2.550658920221053,1.0
2015-02-23,115,312,118.59005411255411,37.95741883116883,52,196,140,658,14.377333,13.822667,-4.500020726820513,-1.0
2015-02-24,113,455,120.7668253968254,39.31540764790765,49,172,152,547,13.819333,13.607333,-1.5578325080102022,-1.0
2015-02-25,55,216,93.09925685425684,21.3778841991342,53,192,103,382,13.662667,13.584,-0.17147371935412278,-1.0
2015-02-26,126,352,133.25071248196247,33.26460858585859,77,236,149,686,13.6,13.812667,1.6833554181389851,1.0
2015-02-27,46,157,74.86190957190956,12.552344877344876,39,182,81,364,13.793333,13.556,-1.858200157869586,-1.0
2015-02-28,13,77,29.81559523809524,7.117467532467533,12,68,32,163,13.793333,13.556,-1.858200157869586,-1.0
2015-03-01,10,70,20.09265873015873,6.502083333333334,8,66,23,138,13.793333,13.556,-1.858200157869586,-1.0
2015-03-02,103,307,103.54237399505256,26.059662956091525,39,259,119,602,13.513333,13.155333,-2.955643257598101,-1.0
