Date,Open,High,Low,Close,Adj Close,Volume,change,Class_target
2015-01-02,14.858,14.883333,14.217333,14.620667,14.620667,71466000,0.0,0
2015-01-05,14.303333,14.433333,13.810667,14.006,14.006,80527500,-4.204096844555718,-1
2015-01-06,14.004,14.28,13.614,14.085333,14.085333,93928500,0.5664215336284456,1
2015-01-07,14.223333,14.318667,13.985333,14.063333,14.063333,44526000,-0.1561908405005422,-1
2015-01-08,14.187333,14.253333,14.000667,14.041333,14.041333,51637500,-0.1564351779197736,-1
2015-01-09,13.928,13.998667,13.664,13.777333,13.777333,70024500,-1.8801633719533564,-1
2015-01-12,13.536667,13.631333,13.283333,13.480667,13.480667,89254500,-2.153290480820926,-1
2015-01-13,13.554667,13.840667,13.394,13.616667,13.616667,67159500,1.0088521584280603,1
2015-01-14,12.388667,13.013333,12.333333,12.846,12.846,173278500,-5.659733031585479,-1
2015-01-15,12.966,13.05,12.666667,12.791333,12.791333,78247500,-0.4255565934921395,-1
2015-01-16,12.713333,12.966,12.643333,12.871333,12.871333,54048000,0.6254234801017226,1
2015-01-20,12.924667,12.941333,12.469333,12.795333,12.795333,67548000,-0.590459434154959,-1
2015-01-21,12.636667,13.245333,12.634,13.104667,13.104667,62295000,2.417553337611454,1
2015-01-22,13.133333,13.549333,13.013333,13.441333,13.441333,61753500,2.5690542155706897,1
2015-01-23,13.352667,13.566667,13.222,13.419333,13.419333,51579000,-0.163674242725779,-1
2015-01-26,13.455333,13.908,13.403333,13.77,13.77,48517500,2.6131477622621007,1
2015-01-27,13.628,13.868667,13.553333,13.732,13.732,41715000,-0.2759622367465523,-1
2015-01-28,13.740667,13.758,13.228,13.291333,13.291333,47244000,-3.209051849694142,-1
2015-01-29,13.404667,13.732,13.1,13.68,13.68,53221500,2.924213846722521,1
2015-01-30,13.597333,13.831333,13.533333,13.573333,13.573333,45105000,-0.7797295321637415,-1
2015-02-02,13.598,14.13,13.553333,14.062667,14.062667,62238000,3.605113055135386,1
2015-02-03,14.214667,14.691333,14.084667,14.557333,14.557333,72393000,3.517583115635182,1
2015-02-04,14.552667,14.765333,14.453333,14.57,14.57,49581000,0.0870145650992556,1
2015-02-05,14.658667,15.032,14.642667,14.732667,14.732667,52843500,1.1164516129032191,1
2015-02-06,14.8,14.893333,14.433333,14.490667,14.490667,48658500,-1.6426082256525525,-1
2015-02-09,14.358667,14.528667,14.132667,14.498667,14.498667,52086000,0.0552079486748202,1
2015-02-10,14.503333,14.7,14.333333,14.419333,14.419333,80857500,-0.5471813374291536,-1
2015-02-11,14.147333,14.316,13.818667,14.186667,14.186667,146536500,-1.613569781625822,-1
2015-02-12,12.904667,13.539333,12.885333,13.525333,13.525333,234744000,-4.661658725055012,-1
2015-02-13,13.526667,13.732667,13.394,13.584667,13.584667,92865000,0.4386879051332767,1
2015-02-17,13.713333,13.713333,13.433333,13.623333,13.623333,59694000,0.284629722613009,1
2015-02-18,13.611333,13.744667,13.506667,13.630667,13.630667,40704000,0.0538341094649904,1
2015-02-19,13.666667,14.162667,13.583333,14.114,14.114,77311500,3.545923321287212,1
2015-02-20,14.052,14.506667,13.987333,14.474,14.474,89731500,2.550658920221053,1
2015-02-23,14.377333,14.546667,13.755333,13.822667,13.822667,127497000,-4.500020726820513,-1
2015-02-24,13.819333,13.819333,13.446667,13.607333,13.607333,99054000,-1.5578325080102022,-1
2015-02-25,13.662667,13.809333,13.505333,13.584,13.584,58642500,-0.1714737193541227,-1
2015-02-26,13.6,14.072667,13.481333,13.812667,13.812667,97093500,1.6833554181389851,1
2015-02-27,13.793333,13.903333,13.52,13.556,13.556,58231500,-1.858200157869586,-1
2015-03-02,13.513333,13.556,13.055333,13.155333,13.155333,118831500,-2.955643257598101,-1
2015-03-03,13.120667,13.349333,13.021333,13.304,13.304,66484500,1.1300892193302872,1
2015-03-04,13.283333,13.501333,13.147333,13.496,13.496,63330000,1.4431749849669284,1
2015-03-05,13.523333,13.746,13.343333,13.375333,13.375333,73155000,-0.8940945465323129,-1
2015-03-06,13.280667,13.383333,12.81,12.925333,12.925333,100686000,-3.364402217126103,-1
2015-03-09,12.959333,12.966,12.55,12.725333,12.725333,101050500,-1.5473489154979687,-1
2015-03-10,12.564,12.9,12.506667,12.688,12.688,83695500,-0.2933754267962851,-1
2015-03-11,12.743333,13.078667,12.734,12.916,12.916,74623500,1.7969735182849915,1
2015-03-12,12.916667,12.963333,12.65,12.738,12.738,62239500,-1.3781356457107528,-1
2015-03-13,12.596667,12.783333,12.488,12.578667,12.578667,81514500,-1.2508478568064074,-1
2015-03-16,12.8,13.060667,12.653333,13.046667,13.046667,84432000,3.720585019064421,1
2015-03-17,13.028667,13.247333,12.929333,12.982,12.982,73411500,-0.4956591595386012,-1
2015-03-18,12.997333,13.392,12.874,13.380667,13.380667,72313500,3.0709212756123976,1
2015-03-19,13.466667,13.639333,12.968667,13.043333,13.043333,127128000,-2.52105519104541,-1
2015-03-20,13.163333,13.266,13.041333,13.205333,13.205333,64042500,1.2420138318940337,1
2015-03-23,13.233333,13.366667,13.164667,13.308667,13.308667,39474000,0.7825171845344625,1
2015-03-24,13.438667,13.586,13.316667,13.448,13.448,54748500,1.0469343022858757,1
2015-03-25,13.218,13.239333,12.846667,12.953333,12.953333,85956000,-3.678368530636525,-1
2015-03-26,12.928,12.986,12.646667,12.694,12.694,61920000,-2.002056150335977,-1
2015-03-27,12.604667,12.619333,12.093333,12.333333,12.333333,129073500,-2.841239955884679,-1
2015-03-30,12.39,12.816667,12.12,12.704667,12.704667,151342500,3.010816297589637,1
2015-03-31,12.902,12.917333,12.560667,12.584667,12.584667,75399000,-0.9445347918209976,-1
2015-04-01,12.58,12.82,12.403333,12.506,12.506,56919000,-0.6251019593923255,-1
2015-04-02,12.682,12.882,12.666667,12.733333,12.733333,75156000,1.8177914600991507,1
2015-04-06,13.2,13.85,13.166667,13.54,13.54,186837000,6.335081317672279,1
2015-04-07,13.500667,13.670667,13.409333,13.55,13.55,65218500,0.0738552437223158,1
2015-04-08,13.88,14.06,13.724667,13.844667,13.844667,94546500,2.1746642066420567,1
2015-04-09,13.895333,14.024667,13.741333,14.006,14.006,57003000,1.16530791242578,1
2015-04-10,13.99,14.11,13.933333,14.06,14.06,61015500,0.3855490504069703,1
2015-04-13,14.029333,14.2,13.936667,13.985333,13.985333,56373000,-0.5310597439544795,-1
2015-04-14,13.904667,13.966,13.7,13.830667,13.830667,45390000,-1.1059157475907126,-1
2015-04-15,13.830667,13.972667,13.773333,13.855333,13.855333,29286000,0.1783428087741528,1
2015-04-16,13.846667,13.944667,13.752667,13.78,13.78,24886500,-0.543711219355035,-1
2015-04-17,13.666,13.792,13.566667,13.786,13.786,37048500,0.0435413642960829,1
2015-04-20,13.785333,13.856667,13.59,13.684667,13.684667,38389500,-0.7350427970404783,-1
2015-04-21,13.72,14.05,13.620667,13.960667,13.960667,51487500,2.0168557992679075,1
2015-04-22,14.166667,14.792,14.112667,14.629333,14.629333,117945000,4.789642214086189,1
2015-04-23,14.551333,14.765333,14.476667,14.573333,14.573333,66168000,-0.3827925716093887,-1
2015-04-24,14.7,14.72,14.534,14.562,14.562,36417000,-0.0777653265728607,-1
2015-04-27,14.837333,15.916667,14.8,15.436667,15.436667,175089000,6.006503227578633,1
2015-04-28,15.65,15.7,15.202,15.365333,15.365333,91281000,-0.4621075261907265,-1
2015-04-29,15.336667,15.664667,15.175333,15.496667,15.496667,59041500,0.8547422955298185,1
2015-04-30,15.359333,15.526,15.011333,15.07,15.07,58678500,-2.753282367105134,-1
2015-05-01,15.329333,15.451333,14.694,15.068667,15.068667,79225500,-0.0088453881884584,0
2015-05-04,15.212,15.648667,15.140667,15.367333,15.367333,66519000,1.9820333145592823,1
2015-05-05,15.850667,15.966667,15.275333,15.53,15.53,86953500,1.0585245989007916,1
2015-05-06,15.606667,15.631333,15.213333,15.362,15.362,79063500,-1.0817772054088812,-1
2015-05-07,14.733333,15.832,14.683333,15.786667,15.786667,141838500,2.764399166775156,1
2015-05-08,15.732667,15.894,15.58,15.774,15.774,70023000,-0.0802385962787485,-1
2015-05-11,15.752667,16.191999,15.687333,15.966,15.966,85084500,1.2171928489920132,1
2015-05-12,16.007334,16.423332,15.879333,16.316,16.316,95451000,2.192158336464986,1
2015-05-13,16.507334,16.553333,16.15,16.212,16.212,81603000,-0.6374111301789607,-1
2015-05-14,16.321333,16.326,16.083332,16.273333,16.273333,43438500,0.3783185294843399,1
2015-05-15,16.261999,16.626667,16.166668,16.589333,16.589333,67914000,1.941827159808006,1
2015-05-18,16.466667,16.66,16.4,16.583332,16.583332,50298000,-0.0361738473753059,-1
2015-05-19,16.562,16.733334,16.41,16.476,16.476,55113000,-0.6472281927419625,-1
2015-05-20,16.475332,16.516001,16.091333,16.290001,16.290001,56334000,-1.1289087157076894,-1
2015-05-21,16.202,16.441334,16.157333,16.374666,16.374666,29559000,0.519736002471707,1
2015-05-22,16.358667,16.573334,16.334,16.515333,16.515333,33346500,0.8590526365545226,1
2015-05-26,16.511999,16.799999,16.433332,16.497334,16.497334,52480500,-0.1089835730227156,-1
