Date,Open,High,Low,Close,Adj Close,Volume,change,Class_target
2015-01-02,15.629,15.7375,15.348,15.426,15.426,55664000,0.0,0
2015-01-05,15.3505,15.419,15.0425,15.1095,15.1095,55484000,-2.0517308440295574,-1
2015-01-06,15.112,15.15,14.619,14.7645,14.7645,70380000,-2.2833316787451645,-1
2015-01-07,14.875,15.064,14.7665,14.921,14.921,52806000,1.0599749398895961,1
2015-01-08,15.016,15.157,14.8055,15.023,15.023,61768000,0.6836002948864038,1
2015-01-09,15.074,15.1435,14.834,14.8465,14.8465,51848000,-1.1748652066830794,-1
2015-01-12,14.878,14.9255,14.464,14.5705,14.5705,68428000,-1.859024012393504,-1
2015-01-13,14.874,15.075,14.6615,14.737,14.737,82728000,1.1427198792079956,1
2015-01-14,14.5965,14.7955,14.325,14.6635,14.6635,110774000,-0.4987446563072487,-1
2015-01-15,14.7,14.8,14.341,14.3475,14.3475,88384000,-2.155010740955438,-1
2015-01-16,14.314,14.5395,14.2625,14.537,14.537,69564000,1.3207875936574363,1
2015-01-20,14.6295,14.668,14.3195,14.472,14.472,61502000,-0.4471348971589824,-1
2015-01-21,14.482,15.3,14.363,14.8625,14.8625,201302000,2.6983139856274265,1
2015-01-22,15.0,15.6125,15.0,15.516,15.516,107252000,4.39697224558452,1
2015-01-23,15.404,15.8465,15.386,15.6195,15.6195,89928000,0.667053364269144,1
2015-01-26,15.591,15.65,15.376,15.483,15.483,63394000,-0.8739076154806482,-1
2015-01-27,15.315,15.512,15.1315,15.3375,15.3375,58406000,-0.9397403603952734,-1
2015-01-28,15.4905,15.5755,15.19,15.1955,15.1955,61276000,-0.9258353708231539,-1
2015-01-29,15.2365,15.64,14.9665,15.589,15.589,173132000,2.5895824421703884,1
2015-01-30,17.316,17.975,17.037001,17.7265,17.7265,477122000,13.711591506831747,1
2015-02-02,17.502501,18.25,17.5005,18.223499,18.223499,204638000,2.803706315403485,1
2015-02-03,18.0145,18.391001,18.0105,18.1775,18.1775,124252000,-0.25241585054550664,-1
2015-02-04,17.919001,18.375,17.911501,18.237499,18.237499,83398000,0.33007289231193093,1
2015-02-05,18.299999,18.940001,18.295,18.6945,18.6945,144952000,2.5058315287639044,1
2015-02-06,18.7435,18.7995,18.550501,18.714001,18.714001,77848000,0.10431410307843597,1
2015-02-09,18.549999,18.720501,18.360001,18.528,18.528,54492000,-0.9939135944259112,-1
2015-02-10,18.5595,18.715,18.425501,18.65,18.65,45744000,0.6584628670120892,1
2015-02-11,18.561501,18.855,18.555,18.757,18.757,55730000,0.5737265415549752,1
2015-02-12,18.754999,18.925501,18.657499,18.8585,18.8585,55822000,0.5411313109772241,1
2015-02-13,18.9205,19.15,18.8505,19.091499,19.091499,69502000,1.23551183816316,1
2015-02-17,18.886,18.9995,18.633499,18.7715,18.7715,73464000,-1.676133445571766,-1
2015-02-18,18.688999,18.837,18.6425,18.668501,18.668501,53012000,-0.5486988253469383,-1
