date,tweet_id,post_date,comment_num,retweet_num,like_num,Subjuctivity,Polarity,Class_sentiment_negative,Class_sentiment_neutral,Class_sentiment_positive,tweet_count,total_count_tweet
2015-01-01,5.175965551514769e+19,133490951098,23,42,87,30.276262626262625,12.192171717171718,15,44,35,94,136
2015-01-02,1.1130771498502301e+20,286882492028,43,51,136,58.11785714285714,24.628968253968253,25,102,75,202,253
2015-01-03,4.962337416175154e+19,127826282034,10,25,89,19.596165223665224,6.0154329004329,6,58,26,90,115
2015-01-04,6.620679349529955e+19,170445126534,11,35,75,21.760569985569987,7.2272727272727275,9,81,30,120,155
2015-01-05,1.5238213713623905e+20,392049185482,23,80,201,78.2108676046176,36.70006313131313,17,148,111,276,356
2015-01-06,1.2982794790152857e+20,333829613792,22,36,155,57.58534451659452,17.047315115440114,20,150,65,235,271
2015-01-07,1.4152032702951352e+20,363682828670,13,61,211,59.85205627705628,27.470310245310245,9,158,89,256,317
2015-01-08,1.338718097281892e+20,343815590400,25,45,217,71.52362651237651,16.8834613997114,28,130,84,242,287
2015-01-09,1.4558520760769328e+20,373673816548,22,57,228,67.74058802308802,22.50584505772006,24,148,91,263,320
2015-01-10,5.428012284250081e+19,139247217227,19,61,106,18.959518398268397,3.699897186147186,10,67,21,98,159
2015-01-11,3.4361023939059577e+19,88100074899,7,12,48,19.034772727272728,12.535681818181818,3,25,34,62,74
2015-01-12,2.2352549295321783e+20,572693125011,71,186,365,118.56411736411737,33.99587812650313,48,208,147,403,589
2015-01-13,2.991737885763554e+20,766010640639,126,341,518,169.66732924482923,46.92022005772006,62,276,201,539,880
2015-01-14,4.6926446266374305e+20,1200946919579,167,335,619,259.79153217153214,46.92634111259111,155,425,265,845,1180
2015-01-15,2.0172049747173166e+20,515941009999,42,70,149,94.45445887445888,29.869011544011542,39,216,108,363,433
2015-01-16,2.1075623796286534e+20,538716658001,24,46,118,75.10242544492544,21.600084776334775,25,267,87,379,425
2015-01-17,6.565930087175875e+19,167736924165,19,34,80,27.9604531024531,8.092981240981242,10,73,35,118,152
2015-01-18,7.293740748631538e+19,186227014666,10,83,166,36.14132034632035,16.054729437229437,8,81,42,131,214
2015-01-19,5.070356689595043e+19,129372655027,9,29,72,27.64027777777778,10.25,8,52,31,91,120
2015-01-20,1.5109509681308346e+20,385298156294,26,42,89,77.92649544899545,32.43753191253192,25,140,106,271,313
2015-01-21,1.6457792236137926e+20,419444751775,50,128,243,82.71996401746402,25.19862073112073,26,158,111,295,423
2015-01-22,2.3280822389147412e+20,592949990157,29,40,81,57.7771645021645,18.086219336219337,18,314,85,417,457
2015-01-23,1.932892348424807e+20,492020645788,17,42,114,69.05542929292929,25.180934343434345,26,232,88,346,388
2015-01-24,5.7012385179133936e+19,145053979229,17,21,68,24.92727272727273,10.590205627705627,4,65,33,102,123
2015-01-25,4.64231171145174e+19,118041436475,4,10,30,20.802777777777777,9.768055555555556,2,50,31,83,93
2015-01-26,1.2537681658189211e+20,318591196674,30,27,124,72.2599025974026,29.015638528138528,17,108,99,224,251
2015-01-27,1.3217798719588064e+20,335678741803,26,41,110,64.88623376623377,18.968102453102453,30,134,72,236,277
2015-01-28,1.2665747940025503e+20,321474200435,11,25,93,69.75321428571428,9.706244588744589,30,121,75,226,251
2015-01-29,1.5646699094172133e+20,396889595446,26,55,119,89.6239145021645,30.116974747474746,28,141,110,279,334
2015-01-30,1.3636089605650616e+20,345697869798,21,42,105,69.66827200577201,18.482274531024533,23,139,81,243,285
2015-01-31,5.39048139431132e+19,136580066668,3,17,44,23.961796536796538,6.294372294372295,6,66,24,96,113
2015-02-01,6.011960445084561e+19,152238972910,4,24,57,26.740804473304472,9.967551406926408,6,68,33,107,131
2015-02-02,1.2763466332772052e+20,322996014206,25,70,147,63.04904918229918,17.406146825396824,30,129,68,227,297
2015-02-03,1.5809843586740296e+20,399856232182,36,70,179,66.36199675324676,19.250761183261183,32,169,80,281,351
2015-02-04,1.6045127051754904e+20,405572531571,16,23,83,66.71298701298701,18.144682539682538,22,189,74,285,308
2015-02-05,1.4815942378926752e+20,374287557505,22,65,140,56.36790404040404,12.669641053391054,27,176,60,263,328
2015-02-06,1.6234370426665684e+20,409890227846,31,956,162,93.37618326118326,37.5197113997114,22,147,119,288,1244
2015-02-07,7.501566110878353e+19,189300178897,13,40,122,39.277272727272724,15.521872294372294,12,75,46,133,173
2015-02-08,8.917709952502799e+19,224897403271,23,61,140,41.67039141414141,8.367992424242425,22,93,43,158,219
2015-02-09,1.649133577654055e+20,415658220882,69,105,244,71.51238095238095,21.708102453102452,32,185,75,292,397
2015-02-10,2.7241809773742608e+20,686167993336,85,207,340,141.05446608946608,41.319155844155844,59,268,155,482,689
2015-02-11,6.696365406891635e+20,1685634401944,368,779,1045,354.8063676046176,59.251142316017315,219,583,382,1184,1963
2015-02-12,1.0151109157547184e+21,2554191245795,506,781,1178,554.9888131313131,84.72293831168831,331,890,573,1794,2575
2015-02-13,2.8706833637518613e+20,721881756755,107,196,315,136.24273424723424,34.38456854256854,68,280,159,507,703
2015-02-14,2.2661058494812704e+20,569562163334,126,189,261,125.72046386483886,31.19282196969697,51,208,141,400,589
2015-02-15,1.7916189982211218e+20,449987377415,79,122,218,56.31628121878122,14.714799506049506,21,225,70,316,438
2015-02-16,1.4977158739956246e+20,375960762225,101,135,247,72.01317099567099,15.238434343434344,35,150,79,264,399
2015-02-17,2.3559551697824157e+20,591036862670,132,142,285,128.7058189033189,35.10201118326118,44,215,156,415,557
